"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://alexdenne.github.io/fofd/images/fungi.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","494604","494604","494604","189.473","","0","","","","","0.000","3","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.134","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/fungi.jpg","2025-12-10 13:05:03"
"https://alexdenne.github.io/fofd/images/car-park.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","184683","184683","184683","70.749","","0","","","","","0.000","3","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.123","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/car-park.jpg","2025-12-10 13:05:03"
"https://alexdenne.github.io/fofd/images/wildlife/BeeOrchid.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","67060","67060","67060","25.689","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.128","Wed, 10 Dec 2025 12:47:49 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/wildlife/BeeOrchid.jpg","2025-12-10 13:05:03"
"https://alexdenne.github.io/fofd/images/wildlife/MeadowBrown.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","59062","59062","59062","22.626","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.133","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/wildlife/MeadowBrown.jpg","2025-12-10 13:05:03"
"https://alexdenne.github.io/fofd/images/wildlife/CommonBlue.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","68446","68446","68446","26.220","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.124","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/wildlife/CommonBlue.jpg","2025-12-10 13:05:03"
"https://alexdenne.github.io/fofd/images/wildlife/BulbousButtercup.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","57722","57722","57722","22.112","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.124","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/wildlife/BulbousButtercup.jpg","2025-12-10 13:05:03"
"https://alexdenne.github.io/fofd/images/wildlife/FieldScabious.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","60667","60667","60667","23.240","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.120","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/wildlife/FieldScabious.jpg","2025-12-10 13:05:03"
"https://alexdenne.github.io/fofd/images/wildlife/PaintedLady.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","55635","55635","55635","21.313","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.130","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/wildlife/PaintedLady.jpg","2025-12-10 13:05:03"
"https://alexdenne.github.io/fofd/images/wildlife/LesserSpottedWoodpecker.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","56225","56225","56225","21.539","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.134","Wed, 10 Dec 2025 12:47:50 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/wildlife/LesserSpottedWoodpecker.jpg","2025-12-10 13:05:03"
"https://alexdenne.github.io/fofd/images/wildlife/LesserBlackbackedGull.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","58548","58548","58548","22.429","","0","","","","","0.000","3","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.133","Wed, 10 Dec 2025 12:47:49 GMT","","","","","1.1","","","","","","https://alexdenne.github.io/fofd/images/wildlife/LesserBlackbackedGull.jpg","2025-12-10 13:05:03"
